50,t,"Chickens and Eggs: Released June 22, 2018, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA).",,,,,,,,
50,t,Average Number of All Layers on Hand During the Month – United States: 2017-2018,,,,,,,,
50,t,[Blank data cells indicate estimation period has not yet begun],,,,,,,,
50,h,,,,,,,,,
50,h,Month,2017,2018,,,,,,
50,h,,,,,,,,,
50,u,,"(1,000 layers)","(1,000 layers)",,,,,,
50,d,December 1/,377371,382301,,,,,,
50,d,January,377198,382255,,,,,,
50,d,February,376341,384086,,,,,,
50,d,March,376257,386512,,,,,,
50,d,April,375748,386754,,,,,,
50,d,May,373642,386301,,,,,,
50,d,June,372430,,,,,,,
50,d,July,372632,,,,,,,
50,d,August,373901,,,,,,,
50,d,September,375748,,,,,,,
50,d,October,378028,,,,,,,
50,d,November,380820,,,,,,,
50,c,,,,,,,,,
50,f,1/ December previous year.,,,,,,,,
51,t,"Chickens and Eggs: Released June 22, 2018, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA).",,,,,,,,
51,t,Egg Production During the Month by Type – United States: 2017-2018,,,,,,,,
51,t,[Blank data cells indicate estimation period has not yet begun],,,,,,,,
51,h,,,,,,,,,
51,h,,Total eggs,Total eggs,Table eggs,Table eggs,Hatching eggs,Hatching eggs,,
51,h,Month,,,,,,,,
51,h,,2017,2018,2017,2018,2017,2018,,
51,h,,,,,,,,,
51,u,,(million eggs),(million eggs),(million eggs),(million eggs),(million eggs),(million eggs),,
51,d,December 1/,9099.7,9104.1,7953.9,7963.9,1145.8,1140.2,,
51,d,January,9053.4,8984.9,7916.4,7841.8,1137,1143.1,,
51,d,February,8124.2,8145.4,7095.8,7099.8,1028.4,1045.6,,
51,d,March,9006.5,9098.9,7861.5,7932,1145,1166.9,,
51,d,April,8686.6,8806.3,7572.8,7665,1113.8,1141.3,,
51,d,May,8917.8,9121.7,7764.5,7933.2,1153.3,1188.5,,
51,d,June,8636,,7513.8,,1122.2,,,
51,d,July,8952.9,,7782.1,,1170.8,,,
51,d,August,8922.3,,7755.2,,1167.1,,,
51,d,September,8578.3,,7456.6,,1121.7,,,
51,d,October,8920.2,,7763.3,,1156.9,,,
51,d,November,8790.8,,7676.3,,1114.5,,,
51,c,,,,,,,,,
51,f,1/ December previous year.,,,,,,,,
68,t,"Chickens and Eggs: Released June 22, 2018, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA).",,,,,,,,
68,t,Egg Production During the Month in Dozens by Type – United States: 2017-2018,,,,,,,,
68,t,[Blank data cells indicate estimation period has not yet begun],,,,,,,,
68,h,,,,,,,,,
68,h,,Total eggs,Total eggs,Table eggs,Table eggs,Hatching eggs,Hatching eggs,,
68,h,Month,,,,,,,,
68,h,,2017,2018,2017,2018,2017,2018,,
68,h,,,,,,,,,
68,u,,"(1,000 dozen eggs)","(1,000 dozen eggs)","(1,000 dozen eggs)","(1,000 dozen eggs)","(1,000 dozen eggs)","(1,000 dozen eggs)",,
68,d,December 1/,758308.1,758675.4,662824.8,663658.3,95483.3,95017.1,,
68,d,January,754450.2,748741.7,659699.8,653483.3,94750.4,95258.4,,
68,d,February,677016.7,678784,591316.9,591650.7,85699.8,87133.3,,
68,d,March,750542,758241.5,655125.1,660999.7,95416.9,97241.8,,
68,d,April,723883.8,733858.1,631067,638750,92816.8,95108.1,,
